2013 Ranking,2015 Ranking,Country,Excel Calculated Curve,Excel Sigmoid,Excel Size,color,t
9,6,Grenada,8.987789586852312,0.004070137715896128,3,-3,-5.5
9,6,Grenada,8.979921447227145,0.0066928509242848554,3,-3,-5.0
9,6,Grenada,8.96703917210822,0.01098694263059318,3,-3,-4.5
9,6,Grenada,8.946041370113726,0.01798620996209156,3,-3,-4.0
9,6,Grenada,8.912063307745932,0.02931223075135632,3,-3,-3.5
9,6,Grenada,8.8577223804673,0.04742587317756678,3,-3,-3.0
9,6,Grenada,8.772425459936269,0.07585818002124355,3,-3,-2.5
9,6,Grenada,8.642391233933647,0.11920292202211755,3,-3,-2.0
9,6,Grenada,8.452723428580931,0.18242552380635635,3,-3,-1.5
9,6,Grenada,8.193175735890014,0.2689414213699951,3,-3,-1.0
9,6,Grenada,7.8673779936055634,0.3775406687981454,3,-3,-0.5
9,6,Grenada,7.5,0.5,3,-3,0.0
9,6,Grenada,7.1326220063944366,0.6224593312018546,3,-3,0.5
9,6,Grenada,6.806824264109985,0.7310585786300049,3,-3,1.0
9,6,Grenada,6.547276571419069,0.8175744761936437,3,-3,1.5
9,6,Grenada,6.3576087660663525,0.8807970779778823,3,-3,2.0
9,6,Grenada,6.22757454006373,0.9241418199787566,3,-3,2.5
9,6,Grenada,6.1422776195327,0.9525741268224334,3,-3,3.0
9,6,Grenada,6.087936692254069,0.9706877692486436,3,-3,3.5
9,6,Grenada,6.053958629886274,0.9820137900379085,3,-3,4.0
9,6,Grenada,6.032960827891779,0.9890130573694068,3,-3,4.5
9,6,Grenada,6.020078552772854,0.9933071490757153,3,-3,5.0
9,6,Grenada,6.012210413147688,0.995929862284104,3,-3,5.5
10,5,Vietnam,9.987636884216826,0.0024726231566347743,5,-5,-6.0
10,5,Vietnam,9.97964931142052,0.004070137715896128,5,-5,-5.5
10,5,Vietnam,9.966535745378575,0.0066928509242848554,5,-5,-5.0
10,5,Vietnam,9.945065286847035,0.01098694263059318,5,-5,-4.5
10,5,Vietnam,9.910068950189542,0.01798620996209156,5,-5,-4.0
10,5,Vietnam,9.853438846243218,0.02931223075135632,5,-5,-3.5
10,5,Vietnam,9.762870634112167,0.04742587317756678,5,-5,-3.0
10,5,Vietnam,9.620709099893782,0.07585818002124355,5,-5,-2.5
10,5,Vietnam,9.403985389889412,0.11920292202211755,5,-5,-2.0
10,5,Vietnam,9.087872380968218,0.18242552380635635,5,-5,-1.5
10,5,Vietnam,8.655292893150024,0.2689414213699951,5,-5,-1.0
10,5,Vietnam,8.112296656009272,0.3775406687981454,5,-5,-0.5
10,5,Vietnam,7.5,0.5,5,-5,0.0
10,5,Vietnam,6.887703343990728,0.6224593312018546,5,-5,0.5
